"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20120101006479I","01-JAN-12","PERKASIE","PA","PENNRIDGE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","33","F33A","","","GENERAL OPERATING RULES","","6733Y","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","976","755","15",""
"20120102000039I","02-JAN-12","OCALA","FL","JUMBOLAIR-GREYSTONE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","3336A","0","0","LYCOMI","0-290 SERIES","","","PRIVATE PILOT","890","60","1",""
"20120102000079I","02-JAN-12","LANSING","IL","LANSING MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","201AD","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","614","85","102",""
"20120102000169I","02-JAN-12","DEL NORTE","CO","ASTRONAUT KENT ROMINGER","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA18","135","","","GENERAL OPERATING RULES","","9952Q","0","0","","","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9032","800","",""
"20120102000459I","02-JAN-12","ATLANTA","GA","DEKALB-PEACHTREE","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","55","95B55","","","GENERAL OPERATING RULES","","246RC","0","0","CONT M","IO 520 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6700","12","12",""
"20120102000479I","02-JAN-12","SAINT LOUIS","MO","LAMBERT-ST LOUIS INTL","INCIDENT","MINOR","DESCENT","BEECH","58","P","","","GENERAL OPERATING RULES","","77LV","0","0","CONT M","TSIO-520 SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","11800","48","40",""
"20120102000659I","02-JAN-12","VIENNA","OH","YOUNGSTOWN-WARREN RGNL","INCIDENT","MINOR","TAXI","DOUGLAS","DC9","83","ALLEGIANT AIR LLC","","AIR CARRIER/COMMERCIAL","","862GA","0","0","P & W","JT8D SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20120102003219I","02-JAN-12","TULSA","OK","HARVEY YOUNG","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","154RS","0","0","ROTAX","582","SEE BO","","","544","544","4",""
"20120103000029I","03-JAN-12","YAKIMA","WA","YAKIMA AIR TERMINAL/MCALLISTER FIELD","INCIDENT","MINOR","LANDING: APPROACH","DE HAVILLAND","DHC8","402","HORIZON AIR INDUSTRIES INC","","AIR CARRIER/COMMERCIAL","","405QX","0","0","P&W CA","PW150A","","","","","","",""
"20120103000109I","03-JAN-12","DENTON","TX","DENTON MUNI","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","400","A","","","GENERAL OPERATING RULES","","492P","0","0","P&W CA","JT15D 5 SER","","2","AIRLINE TRANSPORT","30883","800","30",""
"20120103005269I","03-JAN-12","PETALUMA","CA","PETALUMA MUNI","INCIDENT","NONE","MANEUVER","AEROPRAKT","A22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","8119","0","0","ROTAX","912ULS","","","PRIVATE PILOT","","","",""
"20120104000049I","04-JAN-12","NEWPORT NEWS","VA","NEWPORT NEWS/WILLIAMSBURG INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","14HV","0","0","ROTAX","912ULS","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1800","6","50",""
"20120104000059I","04-JAN-12","COLORADO SPRINGS","CO","CITY OF COLORADO SPRINGS MUNI","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","EMBRAER","EMB145","XR","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","31131","0","0","ROLLS-","AE3007 SER","","","","","","",""
"20120104000119I","04-JAN-12","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","INCIDENT","NONE","CLIMB","LEARJET","35","A","","","GENERAL OPERATING RULES","","754WS","0","0","GARRET","TFE 731 SER","","2","COMMERCIAL PILOT","25000","5000","120",""
"20120104000199I","04-JAN-12","STRAFFORD","MO","","INCIDENT","NONE","CLIMB","CESSNA","150","M","","","GENERAL OPERATING RULES","","8855U","0","0","CONT M","0-200 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3314","1054","49",""
"20120105000149I","05-JAN-12","DENVER","CO","DENVER INTL","INCIDENT","MINOR","LANDING: ROLLOUT","SWEARINGEN","SA227","AC","KEY LIME AIR CORPORATION","","AIR TAXI/COMMUTER","","765FA","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3400","325","",""
"20120105000189I","05-JAN-12","SAINT PAUL ISLAND","AK","ST PAUL ISLAND","INCIDENT","MINOR","LANDING: ROLLOUT","SAAB","340","B","PENINSULA AIRWAYS INC","","AIR CARRIER/COMMERCIAL","","675PA","0","0","GE","CT7-SER","-9B","","AIRLINE TRANSPORT","16000","4168","169",""
"20120105000219I","05-JAN-12","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6335V","0","0","LYCOMI","O&VO-360 SER","","1","","","","",""
"20120105000399I","05-JAN-12","SPRINGFIELD","IL","ABRAHAM LINCOLN CAPITAL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA28","181","","","GENERAL OPERATING RULES","","2182B","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","58","43","1",""
"20120106001279I","06-JAN-12","GAINESVILLE","FL","GAINESVILLE RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","25513","0","0","LYCOMI","0-235 SERIES","","1","PRIVATE PILOT","110","90","60",""
"20120106001331I","06-JAN-12","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","GROUND-RAMP","CESSNA","150","F","","","GENERAL OPERATING RULES","","8159F","0","0","CONT M","0-200 SERIES","","1","STUDENT","185","120","24",""
"20120106001349I","06-JAN-12","NEW SMYRNA BEACH","FL","NEW SMYRNA BEACH MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","320WJ","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4085","1","35",""
"20120107000249I","07-JAN-12","SAN LUIS OBISPO","CA","SAN LUIS COUNTY RGNL","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA28","161","","","GENERAL OPERATING RULES","","356ND","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","135","135","6",""
"20120107001029I","07-JAN-12","FREDERICKSBURG","PA","FARMERS PRIDE","INCIDENT","SUBSTANTIAL","GROUND-RAMP","NAVION","NAVION","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","91601","0","1","CONT M","E185 SERIES","E185-9","1","","","1100","2",""
"20120107002639I","07-JAN-12","FORT MYERS","FL","PAGE FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","FLIGHT DESIGN","CTLS","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","772CT","0","0","ROTAX","912ULS","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7500","100","15",""
"20120108000749I","08-JAN-12","HAWTHORNE","CA","JACK NORTHROP FIELD/HAWTHORNE MUNI","INCIDENT","SUBSTANTIAL","TAXI","CESSNA","172","N","","","GENERAL OPERATING RULES","","3318E","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","600","203","42",""
"20120110000259I","10-JAN-12","NEWTON","IA","NEWTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","3924T","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1767","542","15",""
"20120110000309I","10-JAN-12","AMARILLO","TX","RICK HUSBAND AMARILLO INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","N","","","GENERAL OPERATING RULES","","75929","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","427","278","4",""
"20120110000599I","10-JAN-12","SALEM","OH","SALEM AIRPARK INC","INCIDENT","MINOR","TAKEOFF: DEPARTURE","DIAMOND","DA20","C1","","","GENERAL OPERATING RULES","","373AM","0","0","CONT M","IO-240-B","","","PRIVATE PILOT","550","20","6",""
"20120110000689I","10-JAN-12","WAUKESHA","WI","WAUKESHA COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","182","R","","","GENERAL OPERATING RULES","","738WK","0","0","LYCOMI","0-540 SERIES","J3C5D","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1064","50","217",""
"20120110000969I","10-JAN-12","NORTH PLATTE","NE","NORTH PLATTE RGNL AIRPORT LEE BIRD FIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","400","A","FLIGHT OPTIONS LLC","","AIR TAXI/COMMUTER","","454LX","0","0","P&W CA","JT15D 5 SER","","2","AIRLINE TRANSPORT","16140","6060","64",""
"20120110001001I","10-JAN-12","SPRINGDALE","AR","SPRINGDALE MUNI","INCIDENT","MINOR","GROUND-RAMP","BEECH","1900","C","AMERIFLIGHT LLC","","AIR TAXI/COMMUTER","","2049K","0","0","P&W","PT6A SER","","2","AIRLINE TRANSPORT","","","",""
"20120110001039I","10-JAN-12","CORPUS CHRISTI","","CORPUS CHRISTI INTL","INCIDENT","NONE","TAXI","BEECH","19","B19","","","GENERAL OPERATING RULES","","4358W","0","0","LYCOMI","0-360","0-360-","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","6530","15","38",""
"20120110001109I","10-JAN-12","ALMA","GA","BACON COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","16472","0","1","LYCOMI","0-320","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","28000","1500","30",""
"20120111000209I","11-JAN-12","RICHFIELD","UT","RICHFIELD MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","8VX","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","240","81","3",""
"20120111001399I","11-JAN-12","COATESVILLE","PA","CHESTER COUNTY G O CARLSON","INCIDENT","MINOR","TAXI","SIKORSKY","S92","A","","","GENERAL OPERATING RULES","","CGNUA","0","0","","","","","","","","",""
"20120111001899I","11-JAN-12","ADDISON","TX","ADDISON","INCIDENT","MINOR","RUN-UP AREA","BEECH","36","A36","GTA AIR INC","","AIR TAXI/COMMUTER","","75AT","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4200","1525","103",""
"20120112000069I","12-JAN-12","CHARLESTON","WV","YEAGER","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BOMBARDIER","CL600 2B19","UNDESIGNATED SERIES","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","226JS","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT","","","",""
"20120112000559I","12-JAN-12","BERKELEY","WV","","INCIDENT","NONE","CLIMB","BEECH","23","C23","","","GENERAL OPERATING RULES","","9167S","0","0","LYCOMI","O-360 SER","O-360","1","COMMERCIAL PILOT","392","257","12",""
"20120113000369I","13-JAN-12","BREMERTON","WA","BREMERTON NATIONAL","INCIDENT","MINOR","TAKEOFF: ROTATION","MOONEY","M20C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6903U","0","0","LYCOMI","O&VO-360 SER","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","30000","1200","6",""
"20120113000389I","13-JAN-12","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","TAXI","NEW GLASAIR","GLASTAR","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","133GS","1","0","LYCOMI","0-320 SERIES","","1","COMMERCIAL PILOT","4000","50","",""
"20120113000419I","13-JAN-12","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","310","N","","","GENERAL OPERATING RULES","","911MF","0","0","CONT M","I0-470 SERIES","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","9000","650","15",""
"20120113000649I","13-JAN-12","OSHKOSH","WI","WITTMAN RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","ROCKWELL","690","A","","","GENERAL OPERATING RULES","","32WS","0","0","AIRESE","TPE331 SERIES","","2","COMMERCIAL PILOT","3244","2500","50",""
"20120113001089I","13-JAN-12","ASHLAND","KY","ASHLAND RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","LANCAIR","235","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","67MW","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","3000","350","1",""
"20120113001329I","13-JAN-12","SULLIVAN","IN","SULLIVAN COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA46","310P","","","GENERAL OPERATING RULES","","9095S","0","0","P&W CA","PT6A-21","","","PRIVATE PILOT","999","77","37",""
"20120113002399I","13-JAN-12","","CA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","AEROSPATIALE","AS350","B3","MOUNTAIN AIR HELICOPTERS INC","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","127DE","0","0","TURBOM","ARRIUS 2B","","","","","","",""
"20120114000179I","14-JAN-12","SAINT CLOUD","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","SCHWEIZER","269C","1","BRISTOW ACADEMY","","PILOT SCHOOLS","","1868S","0","0","LYCOMI","HIO-360 SER","G1A","","PRIVATE PILOT","138","25","25",""
"20120114000339I","14-JAN-12","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","INCIDENT","MINOR","TAKEOFF: ROTATION","CESSNA","172RG","NO SERIES EXISTS","WINGS ALOFT INC","","GENERAL OPERATING RULES","","6141R","0","0","LYCOMI","O&VO-360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","5200","200","25",""
"20120114001159I","14-JAN-12","GROVELAND","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","J5A","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","38130","0","0","CONT M","A&C75 SERIES","C85-12","1","PRIVATE PILOT","1193","367","7",""
"20120114002359I","14-JAN-12","WINNEMUCCA","NV","WINNEMUCCA MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","8231W","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","70","70","25",""
"20120115001099I","15-JAN-12","KEY WEST","FL","KEY WEST INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","22UD","0","0","LYCOMI","IO-540-D4B5","","","PRIVATE PILOT","","","",""
"20120116000829I","16-JAN-12","ANCHORAGE","AK","TED STEVENS ANCHORAGE INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","1900","C","ALASKA CENTRAL EXPRESS INC","","AIR TAXI/COMMUTER","","113AX","0","0","P&W CA","PT6A-60A","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","8600","4000","189",""
"20120117000609I","17-JAN-12","EDEN PRAIRIE","MN","FLYING CLOUD","INCIDENT","NONE","TAKEOFF: CLIMB OUT","AERO COMMANDER","500","B","CENTRAL AIR SOUTHWEST INC","","AIR TAXI/COMMUTER","","444CA","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2100","697","204",""
"20120117001389I","17-JAN-12","LIME VILLAGE","AK","LIME VILLAGE","INCIDENT","MINOR","TAXI","CESSNA","A185","F","BIDZY TA HOT AANA CORP","","AIR TAXI/COMMUTER","","866CS","0","0","CONT M","IO 520 SERIES","","1","","","","",""
"20120117001789I","17-JAN-12","EASTMAN","GA","HEART OF GEORGIA RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA28R","201","MIDDLE GEORGIA STATE COLLEGE","","PILOT SCHOOLS","","820HG","0","0","LYCOMI","I0360 SER","C1C6","","PRIVATE PILOT FLIGHT INSTRUCTOR","630","100","50",""
"20120117002349I","17-JAN-12","BERRYTON","KS","","INCIDENT","MINOR","OTHER-SPECIFY","CESSNA","177","A","","","GENERAL OPERATING RULES","","2983X","0","0","LYCOMI","O&VO-360 SER","UNKNOW","1","PRIVATE PILOT FLIGHT INSTRUCTOR","","","",""
"20120118000229I","18-JAN-12","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","MINOR","TAXI","PIPER","PA28","181","FLIGHT QUEST AVIATION INC","","PILOT SCHOOLS","","442PA","0","0","LYCOMI","O-360 SERIES","","","STUDENT","57","57","57",""
"20120118001949I","18-JAN-12","VIDALIA","GA","VIDALIA RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","ROCKWELL","690","B","","","GENERAL OPERATING RULES","","55WJ","0","0","AIRESE","TPE331-5&6SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2000","82","75",""
"20120119000359I","19-JAN-12","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","EMBRAER","EMB135","KL","AMERICAN EAGLE AIRLINES INC","","AIR CARRIER/COMMERCIAL","","848AE","0","0","ROLLS-","AE3007 SER","","","","","","",""
"20120119000429I","19-JAN-12","BIG BEND","WI","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","152","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","4723B","0","0","LYCOMI","0-235 SERIES","O-235-","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1082","151","218",""
"20120119001219I","19-JAN-12","LANCASTER","PA","LANCASTER","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA30","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","114RS","0","0","LYCOMI","IO-320 SERIES","","","PRIVATE PILOT","","1000","6",""
"20120119001909I","19-JAN-12","TULSA","OK","RICHARD LLOYD JONES JR","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","76","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6045M","0","0","LYCOMI","O&VO-360 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","2900","135","",""
"20120120000569I","20-JAN-12","EDENTON","NC","NORTHEASTERN RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5608Y","0","0","LYCOMI","I0360 SER A&C","","1","PRIVATE PILOT","850","310","3",""
"20120120000989I","20-JAN-12","FORT STOCKTON","TX","FORT STOCKTON-PECOS COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","47864","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","3000","30","30",""
"20120121000239I","21-JAN-12","GLENDALE","AZ","GLENDALE MUNI","INCIDENT","MINOR","GROUND-RAMP","NANCHANG","CJ6","A","","","GENERAL OPERATING RULES","","620DM","0","0","VENDEN","M14P","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","19500","789","12",""
"20120121000699I","21-JAN-12","GOODYEAR","AZ","PHOENIX GOODYEAR","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","33","F33A","","","GENERAL OPERATING RULES","","5521A","0","0","CONT M","IO 520 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3500","650","35",""
"20120121000719I","21-JAN-12","CAREFREE","AZ","SKY RANCH AT CAREFREE","INCIDENT","MINOR","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","998SP","0","1","N/A","N/A","N/A","","COMMERCIAL PILOT","2850","30","12",""
"20120121001359I","21-JAN-12","KETCHIKAN","AK","","INCIDENT","MINOR","LANDING: ROLLOUT","LEARJET","35","A","GUARDIAN FLIGHT INC","","GENERAL OPERATING RULES","","81MR","0","0","GARRET","TFE 731 SER","","2","","","","",""
"20120121001539I","21-JAN-12","DAVENPORT","IA","DAVENPORT MUNI","INCIDENT","SUBSTANTIAL","OTHER-SPECIFY","CESSNA","172RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","473KP","0","0","LYCOMI","O&VO-360 SER","","1","COMMERCIAL PILOT","1300","20","20",""
"20120122000439I","22-JAN-12","CLEARWATER","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA12","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","7972H","0","0","LYCOMI","0-235 SERIES","","","PRIVATE PILOT","3926","840","55",""
"20120122000909I","22-JAN-12","CAMARILLO","CA","CAMARILLO","INCIDENT","MINOR","TAKEOFF: ROTATION","CESSNA","421","B","","","GENERAL OPERATING RULES","","13HL","0","0","CONT M","GTSIO-520 SER","","2","AIRLINE TRANSPORT","17500","140","130",""
"20120122001919I","22-JAN-12","LEONARDTOWN","MD","ST. MARY'S COUNTY RGNL","INCIDENT","SUBSTANTIAL","GROUND-RAMP","BELLANCA","1730","A","","","GENERAL OPERATING RULES","","711LA","0","1","CONT M","IO 520 SERIES","","","","","","",""
"20120123001019I","23-JAN-12","BALTIMORE","MD","BALTIMORE/WASHINGTON INTL THURGOOD MARSHAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","EMBRAER","EMB145","LR","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","15986","0","0","ALLISO","AE 3007A","","","AIRLINE TRANSPORT","5300","4642","92",""
"20120123001369I","23-JAN-12","PORT ORANGE","FL","SPRUCE CREEK","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","HEART OF VIRGINA AVIATION","","GENERAL OPERATING RULES","","208TA","0","0","ROTAX","912ULS","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2250","50","45",""
"20120124000349I","24-JAN-12","HENDERSON","NV","HENDERSON EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200T","MONARCH SKY LLC","","PILOT SCHOOLS","","8131B","0","0","CONT M","TSIO-360 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","6307","340","105",""
"20120124000579I","24-JAN-12","","FL","NORTH PALM BEACH COUNTY GENERAL AVIATION","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","T210","L","","","GENERAL OPERATING RULES","","21HF","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","250","","75",""
"20120124000999I","24-JAN-12","ORANGE","TX","ORANGE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","560","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","561EJ","0","0","P&W CA","JT15D 5 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","17000","5000","35",""
"20120124001939I","24-JAN-12","OLIVE BRANCH","MS","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","152","NO SERIES EXISTS","AIR VENTURE FLIGHT CENTER","","PILOT SCHOOLS","","184AK","0","0","LYCOMI","0-235 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","425","350","20",""
"20120125001379I","25-JAN-12","OLATHE","KS","JOHNSON COUNTY EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","181","NASA","","GENERAL OPERATING RULES","","4766F","0","0","LYCOMI","O&VO-360 SER","","","","","","",""
"20120125002649I","25-JAN-12","MALABAR","FL","VALKARIA","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","201","F I T AVIATION INC LLC","","PILOT SCHOOLS","","773FT","0","0","LYCOMI","I0360 SER A&C","","","PRIVATE PILOT","258","29","144",""
"20120126001169I","26-JAN-12","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","MINOR","MANEUVER","CZECH SPORT","PIPERSPORT","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","422PS","0","0","ROTAX","912ULS","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6400","400","120",""
"20120126001409I","26-JAN-12","SUFFOLK","VA","SUFFOLK EXECUTIVE","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","111SM","0","0","CONT M","TSIO-360 SER","","","COMMERCIAL PILOT","8000","5500","105",""
"20120126001979I","26-JAN-12","TUPELO","MS","TUPELO RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BOEING","767","300","","","GENERAL OPERATING RULES","","330MP","0","0","","","","","UNKNOWN/FOREIGN","20643","","",""
"20120126001989I","26-JAN-12","TUPELO","MS","TUPELO RGNL","INCIDENT","NONE","LANDING: TOUCHDOWN","BOEING","767","300","","","GENERAL OPERATING RULES","","332MP","0","0","","","","","AIRLINE TRANSPORT","23000","","",""
"20120126004909I","26-JAN-12","HEMET","CA","","INCIDENT","SUBSTANTIAL","TAKEOFF: CLIMB OUT","CESSNA","210","K","","","GENERAL OPERATING RULES","","8278M","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","1038","331","17",""
"20120127001479I","27-JAN-12","DOTHAN","AL","DOTHAN RGNL","INCIDENT","MINOR","DESCENT","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","580CT","0","0","CONT M","IO-550 SERIES","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","11000","120","76",""
"20120128000509I","28-JAN-12","SHERMAN","TX","SHERMAN MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","961PC","0","0","CONT M","TSIO-550-B","","","PRIVATE PILOT","1631","189","14",""
